Country Name,Country Code,Year,Value
Jamaica,JAM,2016,2881355.0
Japan,JPN,2016,126994511.0
Jordan,JOR,2016,9455802.0
Kazakhstan,KAZ,2016,17797032.0
Kenya,KEN,2016,48461567.0
Kiribati,KIR,2016,114395.0
"Korea, Dem. People’s Rep.",PRK,2016,25368620.0
"Korea, Rep.",KOR,2016,51245707.0
Kosovo,XKX,2016,1816200.0
Kuwait,KWT,2016,4052584.0
Kyrgyz Republic,KGZ,2016,6082700.0
Lao PDR,LAO,2016,6758353.0
Latvia,LVA,2016,1960424.0
Lebanon,LBN,2016,6006668.0
Lesotho,LSO,2016,2203821.0
Liberia,LBR,2016,4613823.0
Libya,LBY,2016,6293253.0
Liechtenstein,LIE,2016,37666.0
Lithuania,LTU,2016,2872298.0
Luxembourg,LUX,2016,582972.0
"Macao SAR, China",MAC,2016,612167.0
"Macedonia, FYR",MKD,2016,2081206.0
Madagascar,MDG,2016,24894551.0
Malawi,MWI,2016,18091575.0
Malaysia,MYS,2016,31187265.0
Maldives,MDV,2016,417492.0
Mali,MLI,2016,17994837.0
Malta,MLT,2016,436947.0
Marshall Islands,MHL,2016,53066.0
Mauritania,MRT,2016,4301018.0
Mauritius,MUS,2016,1263473.0
Mexico,MEX,2016,127540423.0
"Micronesia, Fed. Sts.",FSM,2016,104937.0
Moldova,MDA,2016,3552000.0
Monaco,MCO,2016,38499.0
Mongolia,MNG,2016,3027398.0
Montenegro,MNE,2016,622781.0
Morocco,MAR,2016,35276786.0
Mozambique,MOZ,2016,28829476.0
Myanmar,MMR,2016,52885223.0
Namibia,NAM,2016,2479713.0
Nauru,NRU,2016,13049.0
Nepal,NPL,2016,28982771.0
Netherlands,NLD,2016,17018408.0
New Caledonia,NCL,2016,278000.0
New Zealand,NZL,2016,4692700.0
Nicaragua,NIC,2016,6149928.0
Niger,NER,2016,20672987.0
Nigeria,NGA,2016,185989640.0
Northern Mariana Islands,MNP,2016,55023.0
Norway,NOR,2016,5232929.0
Oman,OMN,2016,4424762.0
Pakistan,PAK,2016,193203476.0
Palau,PLW,2016,21503.0
Panama,PAN,2016,4034119.0
Papua New Guinea,PNG,2016,8084991.0
Paraguay,PRY,2016,6725308.0
Peru,PER,2016,31773839.0
Philippines,PHL,2016,103320222.0
Poland,POL,2016,37948016.0
Portugal,PRT,2016,10324611.0
Puerto Rico,PRI,2016,3411307.0
Qatar,QAT,2016,2569804.0
Romania,ROU,2016,19705301.0
Russian Federation,RUS,2016,144342396.0
Rwanda,RWA,2016,11917508.0
Samoa,WSM,2016,195125.0
San Marino,SMR,2016,33203.0
Sao Tome and Principe,STP,2016,199910.0
Saudi Arabia,SAU,2016,32275687.0
Senegal,SEN,2016,15411614.0
Serbia,SRB,2016,7057412.0
Seychelles,SYC,2016,94677.0
Sierra Leone,SLE,2016,7396190.0
Singapore,SGP,2016,5607283.0
Sint Maarten (Dutch part),SXM,2016,40005.0
Slovak Republic,SVK,2016,5428704.0
Slovenia,SVN,2016,2064845.0
Solomon Islands,SLB,2016,599419.0
Somalia,SOM,2016,14317996.0
South Africa,ZAF,2016,55908865.0
South Sudan,SSD,2016,12230730.0
Spain,ESP,2016,46443959.0
Sri Lanka,LKA,2016,21203000.0
St. Kitts and Nevis,KNA,2016,54821.0
St. Lucia,LCA,2016,178015.0
St. Martin (French part),MAF,2016,31949.0
St. Vincent and the Grenadines,VCT,2016,109643.0
Sudan,SDN,2016,39578828.0
Suriname,SUR,2016,558368.0
Swaziland,SWZ,2016,1343098.0
Sweden,SWE,2016,9903122.0
Switzerland,CHE,2016,8372098.0
Syrian Arab Republic,SYR,2016,18430453.0
Tajikistan,TJK,2016,8734951.0
Tanzania,TZA,2016,55572201.0
Thailand,THA,2016,68863514.0
Timor-Leste,TLS,2016,1268671.0
Togo,TGO,2016,7606374.0
Tonga,TON,2016,107122.0
Trinidad and Tobago,TTO,2016,1364962.0
Tunisia,TUN,2016,11403248.0
Turkey,TUR,2016,79512426.0
Turkmenistan,TKM,2016,5662544.0
Turks and Caicos Islands,TCA,2016,34900.0
Tuvalu,TUV,2016,11097.0
Uganda,UGA,2016,41487965.0
Ukraine,UKR,2016,45004645.0
United Arab Emirates,ARE,2016,9269612.0
United Kingdom,GBR,2016,65637239.0
United States,USA,2016,323127513.0
Uruguay,URY,2016,3444006.0
Uzbekistan,UZB,2016,31848200.0
Vanuatu,VUT,2016,270402.0
"Venezuela, RB",VEN,2016,31568179.0
Vietnam,VNM,2016,92701100.0
Virgin Islands (U.S.),VIR,2016,102951.0
West Bank and Gaza,PSE,2016,4551566.0
"Yemen, Rep.",YEM,2016,27584213.0
Zambia,ZMB,2016,16591390.0
Zimbabwe,ZWE,2016,16150362.0
